product_id,product_name,category,subcategory,brand,cost_price,price,current_stock,reorder_level
PROD00001,Atomic Habits,Books,Non-Fiction,Random House,40.23,73.68,80,25
PROD00002,Area Rug,Home & Garden,Home Decor,Stanley,207.56,357.14,300,100
PROD00003,Camping Stove,Sports,Outdoor Sports,Nike,183.6,336.27,300,150
PROD00004,Cricket Bat,Sports,Team Sports,Wilson,795.84,1440.03,200,100
PROD00005,Resistance Bands,Sports,Fitness & Gym Equipment,Spalding,55.74,80.73,300,50
PROD00006,Educated,Books,Non-Fiction,Scholastic,10.25,16.64,90,30
PROD00007,Mountain Bike,Sports,Outdoor Sports,Wilson,614.96,957.42,200,50
PROD00008,Denim Shirt,Clothing,Shirts & Tops,Puma,34.11,53.78,100,60
PROD00009,The Power of Habit,Books,Non-Fiction,Scholastic,43.79,78.59,60,25
PROD00010,Toolbox Kit,Home & Garden,Tools & DIY,Stanley,377.17,615.03,400,50
PROD00011,Calculus Made Easy,Books,Educational & Textbooks,Simon & Schuster,6.78,11.83,200,50
PROD00012,Samsung Galaxy S25,Electronics,Smartphones & Tablets,Apple,745.56,1382.48,500,50
PROD00013,Lenovo ThinkPad X1,Electronics,Laptops & Computers,HP,1589.26,2774.89,500,100
PROD00014,Introduction to Psychology,Books,Educational & Textbooks,Penguin,21.19,34.24,80,40
PROD00015,Bookshelf,Home & Garden,Furniture,Stanley,1442.55,2309.23,400,150
PROD00016,OnePlus 12,Electronics,Smartphones & Tablets,Bose,1467.44,2234.19,500,50
PROD00017,Patio Furniture Set,Home & Garden,Outdoor & Patio,Stanley,1091.49,1944.14,200,100
PROD00018,Cocktail Dress,Clothing,Dresses & Skirts,Adidas,163.64,346.72,200,50
PROD00019,Nike Air Force 1,Clothing,Footwear,Uniqlo,191.45,309.52,100,50
PROD00020,Cookware Set,Home & Garden,Kitchen & Dining,Ashley Furniture,1185.86,2286.77,200,50
PROD00021,Tent,Sports,Outdoor Sports,Decathlon,395.87,736.57,400,150
PROD00022,Cookware Set,Home & Garden,Kitchen & Dining,Bosch,885.3,1642.44,300,100
PROD00023,Surfboard,Sports,Water Sports,Spalding,429.43,713.37,100,100
PROD00024,Dell XPS 15,Electronics,Laptops & Computers,Sony,697.3,1391.12,400,100
PROD00025,Atomic Habits,Books,Non-Fiction,Simon & Schuster,10.06,19.2,50,20
PROD00026,Sweatband,Sports,Sportswear & Accessories,Wilson,43.39,64.81,400,50
PROD00027,Denim Jacket,Clothing,Jackets & Outerwear,Levi's,170.1,261.68,200,50
PROD00028,Fujifilm X-T5,Electronics,Cameras & Accessories,Bose,1647.68,3138.45,300,50
PROD00029,Toolbox Kit,Home & Garden,Tools & DIY,IKEA,159.25,273.72,400,100
PROD00030,Formal Blue Shirt,Clothing,Shirts & Tops,Adidas,173.23,282.56,200,60
PROD00031,Running Shorts,Sports,Sportswear & Accessories,Nike,442.78,765.44,400,50
PROD00032,Tent,Sports,Outdoor Sports,Decathlon,89.48,168.44,400,100
PROD00033,Matilda,Books,Children’s Books,Random House,31.45,54.86,90,30
PROD00034,Asus ROG Zephyrus,Electronics,Laptops & Computers,Canon,1068.44,1795.28,100,50
PROD00035,IKEA Dining Table,Home & Garden,Furniture,Stanley,326.13,631.74,100,50
PROD00036,Vans Old Skool,Clothing,Footwear,Zara,30.04,55.93,100,30
PROD00037,Converse Chuck Taylor,Clothing,Footwear,Uniqlo,41.84,66.5,50,50
PROD00038,Graphic T-Shirt,Clothing,Shirts & Tops,Puma,94.22,181.38,200,20
PROD00039,Jogger Pants,Clothing,Pants & Jeans,H&M,95.84,231.6,60,20
PROD00040,Hammock,Home & Garden,Outdoor & Patio,Ashley Furniture,856.81,1671.71,100,150
PROD00041,Nikon Z8,Electronics,Cameras & Accessories,Fitbit,1896.66,3126.3,500,100
PROD00042,Hiking Backpack,Sports,Outdoor Sports,Spalding,173.79,278.8,400,50
PROD00043,Fitbit Charge 6,Electronics,Wearables & Smart Devices,HP,1384.18,2451.34,100,150
PROD00044,Data Science for Dummies,Books,Educational & Textbooks,Scholastic,11.28,17.89,90,30
PROD00045,Camping Stove,Sports,Outdoor Sports,Wilson,22.08,32.93,400,100
PROD00046,Wilson Basketball,Sports,Team Sports,Puma,299.94,494.28,100,100
PROD00047,Cargo Pants,Clothing,Pants & Jeans,Puma,47.23,117.96,60,30
PROD00048,iPad Pro 12.9,Electronics,Smartphones & Tablets,Fitbit,472.08,885.77,400,50
PROD00049,Cocktail Dress,Clothing,Dresses & Skirts,Uniqlo,50.68,90.05,50,50
PROD00050,Samsung Galaxy S25,Electronics,Smartphones & Tablets,Dell,1229.11,2062.51,100,50
PROD00051,Microwave Oven,Home & Garden,Kitchen & Dining,Ashley Furniture,279.81,374.77,100,50
PROD00052,The Power of Habit,Books,Non-Fiction,HarperCollins,34.8,57.02,80,25
PROD00053,Sweatband,Sports,Sportswear & Accessories,Adidas,298.78,456.58,400,50
PROD00054,Green Eggs and Ham,Books,Children’s Books,HarperCollins,7.86,13.37,200,30
PROD00055,Jogger Pants,Clothing,Pants & Jeans,Levi's,53.33,105.31,60,20
PROD00056,Timberland Boots,Clothing,Footwear,Nike,137.46,336.99,50,50
PROD00057,Treadmill,Sports,Fitness & Gym Equipment,Wilson,697.67,1069.73,300,100
PROD00058,Sweatband,Sports,Sportswear & Accessories,Spalding,222.47,391.19,100,100
PROD00059,GoPro Hero 12,Electronics,Cameras & Accessories,Samsung,1042.47,1776.3,500,50
PROD00060,Winter Parka,Clothing,Jackets & Outerwear,H&M,149.5,325.83,60,50
PROD00061,Blazer Jacket,Clothing,Jackets & Outerwear,Levi's,21.01,38.34,100,30
PROD00062,Running Shorts,Sports,Sportswear & Accessories,Wilson,506.58,917.05,300,100
PROD00063,The Gruffalo,Books,Children’s Books,Penguin,23.73,46.46,70,50
PROD00064,Green Eggs and Ham,Books,Children’s Books,Penguin,12.04,22.12,50,50
PROD00065,Leather Jacket,Clothing,Jackets & Outerwear,Levi's,65.4,130.51,300,60
PROD00066,Introduction to Psychology,Books,Educational & Textbooks,HarperCollins,43.77,68.7,80,30
PROD00067,Windbreaker,Clothing,Jackets & Outerwear,Adidas,83.4,198.46,200,30
PROD00068,Summer Maxi Dress,Clothing,Dresses & Skirts,Zara,87.96,137.06,200,40
PROD00069,AirPods Pro 2,Electronics,Audio & Headphones,Sony,875.64,1449.49,500,150
PROD00070,Coffee Maker,Home & Garden,Kitchen & Dining,Stanley,1484.88,2330.35,300,150
PROD00071,Canon EOS R6,Electronics,Cameras & Accessories,HP,1817.6,2848.83,500,150
PROD00072,Formal Blue Shirt,Clothing,Shirts & Tops,Adidas,92.58,204.89,200,40
PROD00073,Tent,Sports,Outdoor Sports,Puma,146.03,245.81,400,50
PROD00074,Oura Ring Gen3,Electronics,Wearables & Smart Devices,Samsung,734.84,1125.02,500,100
PROD00075,AirPods Pro 2,Electronics,Audio & Headphones,Fitbit,1112.34,1697.6,100,50
PROD00076,Wall Art Painting,Home & Garden,Home Decor,Wayfair,288.52,469.82,100,150
PROD00077,Bookshelf,Home & Garden,Furniture,Ashley Furniture,230.72,451.9,300,100
PROD00078,Vase,Home & Garden,Home Decor,Home Depot,75.24,141.87,100,150
PROD00079,Winter Parka,Clothing,Jackets & Outerwear,Nike,89.98,193.32,60,30
PROD00080,Hockey Stick,Sports,Team Sports,Spalding,123.25,235.52,200,150
PROD00081,Resistance Bands,Sports,Fitness & Gym Equipment,Nike,581.23,939.97,400,50
PROD00082,Resistance Bands,Sports,Fitness & Gym Equipment,Wilson,511.91,876.66,400,100
PROD00083,Garmin Fenix 7,Electronics,Wearables & Smart Devices,Fitbit,1526.31,2950.34,200,100
PROD00084,Timberland Boots,Clothing,Footwear,Zara,115.75,179.92,300,30
PROD00085,Tent,Sports,Outdoor Sports,Wilson,357.69,519.07,300,100
PROD00086,Resistance Bands,Sports,Fitness & Gym Equipment,Spalding,243.79,384.26,300,50
PROD00087,Camping Stove,Sports,Outdoor Sports,Puma,497.66,965.3,400,50
PROD00088,Denim Shirt,Clothing,Shirts & Tops,Zara,52.95,117.59,300,60
PROD00089,Spider-Man: Blue,Books,Comics & Graphic Novels,Penguin,6.06,10.81,70,25
PROD00090,Educated,Books,Non-Fiction,Scholastic,41.14,68.47,200,20
PROD00091,Converse Chuck Taylor,Clothing,Footwear,Nike,127.74,317.02,300,30
PROD00092,AirPods Pro 2,Electronics,Audio & Headphones,Apple,1636.93,2964.27,400,100
PROD00093,Fitbit Charge 6,Electronics,Wearables & Smart Devices,Bose,872.4,1533.61,300,150
PROD00094,Sofa Set,Home & Garden,Furniture,Ashley Furniture,710.53,951.1,400,100
PROD00095,Sweatband,Sports,Sportswear & Accessories,Puma,679.21,1339.18,400,150
PROD00096,Dell XPS 15,Electronics,Laptops & Computers,Fitbit,1844.19,3573.26,300,150
PROD00097,Chino Pants,Clothing,Pants & Jeans,Puma,197.3,341.1,100,50
PROD00098,Baseball Glove,Sports,Team Sports,Nike,396.73,749.16,300,50
PROD00099,Dell XPS 15,Electronics,Laptops & Computers,Google,383.21,740.21,100,150
PROD00100,Becoming,Books,Non-Fiction,Random House,23.37,40.71,200,25
PROD00101,IKEA Dining Table,Home & Garden,Furniture,Stanley,735.84,1029.94,100,100
PROD00102,Patio Furniture Set,Home & Garden,Outdoor & Patio,Stanley,642.71,968.63,100,50
PROD00103,The Gruffalo,Books,Children’s Books,Penguin,21.24,42.47,90,40
PROD00104,Baseball Glove,Sports,Team Sports,Nike,575.91,1075.62,400,100
PROD00105,Wilson Basketball,Sports,Team Sports,Decathlon,468.98,754.69,300,100
PROD00106,Sweatband,Sports,Sportswear & Accessories,Wilson,349.28,538.11,400,100
